,project_id,visitor_id,experiment_id,uid,status,is_mobile,created_at,experiment_name,platform
817,21,60705,48.0,6yQUKi8X7lsuOeon8M2Chg,complete,0,2023-12-10 15:42:14,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
829,21,60779,48.0,2hOqfiPr0kLYhCpVvoXHlx,complete,0,2023-12-10 17:13:35,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
830,21,60782,48.0,0THPsRdY5pbd2DTIFw4ebF,complete,0,2023-12-10 17:16:56,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
850,21,60877,48.0,6ySoD1qLNUBPIPpqvXCWhl,complete,1,2023-12-10 18:32:37,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
859,21,60922,48.0,2mOuxsJhKvXjFzx0P0xjy1,complete,0,2023-12-10 20:14:00,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
864,21,60940,48.0,07GINTAi7h7sLVDf5FAF3J,complete,0,2023-12-10 20:59:20,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
875,21,61012,48.0,2pPZhaYZ89CPJkcfeZU9DL,complete,0,2023-12-11 00:46:25,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
908,21,61134,48.0,48yIAigI7pYYWEyydO3xzs,complete,0,2023-12-11 07:38:13,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
909,21,61135,48.0,7rAuwF89wmNi9u5NBfW0Ah,complete,0,2023-12-11 07:40:02,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
911,21,61180,48.0,1IXNypMJdiiyohjjkmYRlZ,complete,1,2023-12-11 09:05:20,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
914,21,61210,48.0,6WclmX8pcK1SiWUUTp0jRv,complete,1,2023-12-11 09:11:47,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
925,21,61262,48.0,00oHo6mQihRukti6Pl2If0,complete,1,2023-12-11 09:27:53,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
928,21,61319,48.0,4HkiQ75IdqGBTPRfeORHnQ,complete,1,2023-12-11 10:13:07,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
929,21,61320,48.0,3JJjIid5J6Pia2LVqDvZRu,complete,1,2023-12-11 10:13:11,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
943,21,61456,48.0,1VVjLsd2WgnrsdwvpIKWW1,complete,1,2023-12-11 12:35:16,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
952,21,61492,48.0,5xkt5YLvM4otl4I3KwawAu,complete,1,2023-12-11 12:41:02,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
964,21,61563,48.0,0OWXdLlBCj1uEAj5ZztHjt,complete,1,2023-12-11 12:56:34,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
970,21,61594,48.0,3yScyOboCn81nZOSkt7xI9,complete,1,2023-12-11 13:20:50,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
971,21,61598,48.0,0BD01FvoxHsuvX7ipUFxFO,complete,1,2023-12-11 13:21:21,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
974,21,61614,48.0,1cs3Py8hrX27DpsRnSxebf,complete,1,2023-12-11 13:23:25,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
983,21,61657,48.0,6608Rh6cE2xYYo6myB0Q1X,complete,1,2023-12-11 13:31:03,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
997,21,61769,48.0,5KobfTl2nyhcQbXotgnAJw,complete,1,2023-12-11 13:51:12,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
1004,21,61809,48.0,2TnlFMMeFolTMcTBanrwLN,complete,1,2023-12-11 13:55:21,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
1012,21,61851,48.0,1gpauGAEq9x0mFAJdJj36G,complete,1,2023-12-11 14:01:32,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
1014,21,61876,48.0,7qe58EkgE3XgEKIaVoESc9,complete,1,2023-12-11 14:07:16,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
1026,21,61969,48.0,7nMeDy2T2YaN7gpwhg9U0u,complete,1,2023-12-11 14:27:42,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
1029,21,61997,48.0,34rfmSb9Dq03XqiopfWTIf,complete,1,2023-12-11 14:35:37,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
1034,21,62021,48.0,7cSMjNeNRhDSffkr8EAbkb,complete,1,2023-12-11 14:42:23,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
1038,21,62033,48.0,35phEOqitoHk7NUN9sJEhl,complete,1,2023-12-11 14:44:25,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
